SERVICE;PROTOCOL;DIR;SRC;SRCPORT;DEST;DESTPORT;STATE;AGE;EXP;PKTS;BYTES
HTTPS;UDP;In;192.168.160.35;61196;34.224.102.202;443;MULTIPLE:MULTIPLE;02:41:37;00:00:59;3933851;681717
HTTPS;UDP;Out;201.65.78.233;60672;34.224.102.202;443;MULTIPLE:MULTIPLE;02:41:37;00:00:59;3933851;681717
HTTP;TCP;In;192.168.88.35;33992;201.159.159.144;80;ESTABLISHED:ESTABLISHED;16:16:52;08:01:37;2906105;2622031
HTTP;TCP;Out;177.200.93.126;60374;201.159.159.144;80;ESTABLISHED:ESTABLISHED;16:16:52;08:01:37;2906105;2622031
HTTPS;TCP;In;192.168.160.6;33708;159.69.26.208;443;ESTABLISHED:ESTABLISHED;18:28:52;23:59:59;2887885;929135
HTTPS;TCP;Out;201.65.78.233;58874;159.69.26.208;443;ESTABLISHED:ESTABLISHED;18:28:52;23:59:59;2887885;929135
HTTPS;TCP;In;192.168.160.26;33108;159.69.26.208;443;ESTABLISHED:ESTABLISHED;18:20:11;00:00:00;2671477;807990
HTTPS;TCP;Out;201.65.78.233;42445;159.69.26.208;443;ESTABLISHED:ESTABLISHED;18:20:11;00:00:00;2671477;807990
HTTPS;TCP;In;192.168.88.35;36554;200.216.135.114;443;ESTABLISHED:ESTABLISHED;00:51:41;00:00:00;2267294;2164568
HTTPS;TCP;Out;177.200.93.126;45453;200.216.135.114;443;ESTABLISHED:ESTABLISHED;00:51:41;00:00:00;2267294;2164568
HTTP;TCP;In;192.168.88.35;55872;108.139.119.14;80;ESTABLISHED:ESTABLISHED;07:03:49;18:35:29;2082679;1927575
HTTP;TCP;Out;177.200.93.126;6541;108.139.119.14;80;ESTABLISHED:ESTABLISHED;07:03:49;18:35:29;2082679;1927575
HTTP;TCP;In;192.168.180.78;39409;104.101.21.9;80;ESTABLISHED:ESTABLISHED;02:12:14;23:59:57;1844677;2342681
HTTP;TCP;Out;177.200.93.126;39974;104.101.21.9;80;ESTABLISHED:ESTABLISHED;02:12:14;23:59:57;1844677;2342681
